nodeSn,timestamp,day/month/year,hours:minutes:seconds,address,last_sync
RouterOP0000,1512304274,3/12/2017,13:31:14,0,onos_system_started
RouterOP0000,1512844356,9/12/2017,19:32:36,0,onos_system_started
RouterOP0000,1512850162,9/12/2017,21:9:22,0,onos_system_started
RouterOP0000,1513805312,20/12/2017,22:28:32,0,onos_system_started
RouterOP0000,1514994189,3/1/2018,16:43:9,0,onos_system_started
RouterOP0000,1514998920,3/1/2018,18:2:0,0,onos_system_started
RouterOP0000,1514998942,3/1/2018,18:2:22,0,onos_system_started
RouterOP0000,1517607171,2/2/2018,22:32:51,0,onos_system_started
RouterOP0000,1525557703,6/5/2018,0:1:43,0,+++onos_system_started1+++
RouterOP0000,1525558041,6/5/2018,0:7:21,0,+++onos_system_started1+++
RouterOP0000,1525558193,6/5/2018,0:9:53,0,+++onos_system_started1+++
RouterOP0000,1525558605,6/5/2018,0:16:45,0,+++onos_system_started1+++
RouterOP0000,1525558716,6/5/2018,0:18:36,0,+++onos_system_started1+++
