nodeSn,timestamp,day/month/year,hours:minutes:seconds,address,last_sync
WreedSaa0008,1514994189,3/1/2018,16:43:9,038,onos_system_started
WreedSaa0008,1514998920,3/1/2018,18:2:0,038,onos_system_started
WreedSaa0008,1514998942,3/1/2018,18:2:22,038,onos_system_started
WreedSaa0008,1517607171,2/2/2018,22:32:51,038,onos_system_started
WreedSaa0008,1525557703,6/5/2018,0:1:43,038,+++onos_system_started1+++
WreedSaa0008,1525558041,6/5/2018,0:7:21,038,+++onos_system_started1+++
WreedSaa0008,1525558193,6/5/2018,0:9:53,038,+++onos_system_started1+++
WreedSaa0008,1525558605,6/5/2018,0:16:45,038,+++onos_system_started1+++
WreedSaa0008,1525558716,6/5/2018,0:18:36,038,+++onos_system_started1+++
WreedSaa0008,1525609099,6/5/2018,14:18:19,038,+++onos_system_started1+++
WreedSaa0008,1525609480,6/5/2018,14:24:40,038,+++onos_system_started1+++
WreedSaa0008,1525609526,6/5/2018,14:25:26,038,+++onos_system_started1+++
WreedSaa0008,1525609631,6/5/2018,14:27:11,038,+++onos_system_started1+++
WreedSaa0008,1525610005,6/5/2018,14:33:25,038,+++onos_system_started1+++
WreedSaa0008,1525610062,6/5/2018,14:34:22,038,+++onos_system_started1+++
WreedSaa0008,1525610169,6/5/2018,14:36:9,038,+++onos_system_started1+++
WreedSaa0008,1525610225,6/5/2018,14:37:5,038,+++onos_system_started1+++
WreedSaa0008,1525610906,6/5/2018,14:48:26,038,+++onos_system_started1+++
WreedSaa0008,1525611368,6/5/2018,14:56:8,038,+++onos_system_started1+++
WreedSaa0008,1525611412,6/5/2018,14:56:52,038,+++onos_system_started1+++
WreedSaa0008,1525611512,6/5/2018,14:58:32,038,+++onos_system_started1+++
WreedSaa0008,1525611630,6/5/2018,15:0:30,038,+++onos_system_started1+++
WreedSaa0008,1525611700,6/5/2018,15:1:40,038,+++onos_system_started1+++
WreedSaa0008,1525611824,6/5/2018,15:3:44,038,+++onos_system_started1+++
WreedSaa0008,1525616119,6/5/2018,16:15:19,038,+++onos_system_started1+++
WreedSaa0008,1525616172,6/5/2018,16:16:12,038,+++onos_system_started1+++
WreedSaa0008,1525618060,6/5/2018,16:47:40,038,+++onos_system_started1+++
