statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user
+++onos_system_started0+++,1588528521,3/5/2020,19:55:21,19,6,+++onos_system_started0+++
100,1588528526,3/5/2020,19:55:26,19,6,onos_node
+++onos_system_started0+++,1588528546,3/5/2020,19:55:46,19,6,+++onos_system_started0+++
100,1588528564,3/5/2020,19:56:4,19,6,onos_node
+++onos_system_started0+++,1588528720,3/5/2020,19:58:40,19,6,+++onos_system_started0+++
100,1588529439,3/5/2020,20:10:39,20,6,onos_node
100,1588529763,3/5/2020,20:16:3,20,6,onos_node
100,1588530065,3/5/2020,20:21:5,20,6,onos_node
+++onos_system_started0+++,1588530103,3/5/2020,20:21:43,20,6,+++onos_system_started0+++
100,1588530108,3/5/2020,20:21:48,20,6,onos_node
100,1588530132,3/5/2020,20:22:12,20,6,onos_node
+++onos_system_started0+++,1588530627,3/5/2020,20:30:27,20,6,+++onos_system_started0+++
100,1588530635,3/5/2020,20:30:35,20,6,onos_node
+++onos_system_started0+++,1588530697,3/5/2020,20:31:37,20,6,+++onos_system_started0+++
100,1588530702,3/5/2020,20:31:42,20,6,onos_node
+++onos_system_started0+++,1588531375,3/5/2020,20:42:55,20,6,+++onos_system_started0+++
100,1588531395,3/5/2020,20:43:15,20,6,onos_node
+++onos_system_started0+++,1588532184,3/5/2020,20:56:24,20,6,+++onos_system_started0+++
100,1588532190,3/5/2020,20:56:30,20,6,onos_node
100,1588532221,3/5/2020,20:57:1,20,6,onos_node
+++onos_system_started0+++,1588532277,3/5/2020,20:57:57,20,6,+++onos_system_started0+++
100,1588532282,3/5/2020,20:58:2,20,6,onos_node
100,1588532299,3/5/2020,20:58:19,20,6,onos_node
+++onos_system_started0+++,1588533438,3/5/2020,21:17:18,21,6,+++onos_system_started0+++
100,1588533447,3/5/2020,21:17:27,21,6,onos_node
+++onos_system_started0+++,1588533802,3/5/2020,21:23:22,21,6,+++onos_system_started0+++
100,1588533811,3/5/2020,21:23:31,21,6,onos_node
+++onos_system_started0+++,1588534234,3/5/2020,21:30:34,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535016,3/5/2020,21:43:36,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535047,3/5/2020,21:44:7,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535075,3/5/2020,21:44:35,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535138,3/5/2020,21:45:38,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121165,14/6/2020,9:52:45,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121221,14/6/2020,9:53:41,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121307,14/6/2020,9:55:7,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121469,14/6/2020,9:57:49,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121621,14/6/2020,10:0:21,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121762,14/6/2020,10:2:42,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121804,14/6/2020,10:3:24,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592122903,14/6/2020,10:21:43,10,6,+++onos_system_started0+++
100,1592128634,14/6/2020,11:57:14,11,6,onos_node
+++onos_system_started0+++,1592138951,14/6/2020,14:49:11,14,6,+++onos_system_started0+++
