statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user
5,1588533449,3/5/2020,21:17:29,21,6,onos_node
0,1588533487,3/5/2020,21:18:7,21,6,onos_node
5,1588533497,3/5/2020,21:18:17,21,6,onos_node
2,1588533497,3/5/2020,21:18:17,21,6,onos_node
5,1588533507,3/5/2020,21:18:27,21,6,onos_node
0,1588533511,3/5/2020,21:18:31,21,6,onos_node
2,1588533559,3/5/2020,21:19:19,21,6,onos_node
0,1588533559,3/5/2020,21:19:19,21,6,onos_node
2,1588533811,3/5/2020,21:23:31,21,6,onos_node
0,1588533816,3/5/2020,21:23:36,21,6,onos_node
21,1588533824,3/5/2020,21:23:44,21,6,onos_node
5,1588533824,3/5/2020,21:23:44,21,6,onos_node
13,1588533824,3/5/2020,21:23:44,21,6,onos_node
+++onos_system_started0+++,1588534234,3/5/2020,21:30:34,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535016,3/5/2020,21:43:36,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535047,3/5/2020,21:44:7,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535075,3/5/2020,21:44:35,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535138,3/5/2020,21:45:38,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121165,14/6/2020,9:52:45,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121221,14/6/2020,9:53:41,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121307,14/6/2020,9:55:7,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121469,14/6/2020,9:57:49,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121621,14/6/2020,10:0:21,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121762,14/6/2020,10:2:42,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121804,14/6/2020,10:3:24,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592122903,14/6/2020,10:21:43,10,6,+++onos_system_started0+++
147,1592128634,14/6/2020,11:57:14,11,6,onos_node
168,1592131645,14/6/2020,12:47:25,12,6,onos_node
170,1592137671,14/6/2020,14:27:51,14,6,onos_node
+++onos_system_started0+++,1592138951,14/6/2020,14:49:11,14,6,+++onos_system_started0+++
