statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user
5,1588533834,3/5/2020,21:23:54,21,6,onos_node
68,1588533844,3/5/2020,21:24:4,21,6,onos_node
65,1588533875,3/5/2020,21:24:35,21,6,onos_node
68,1588533885,3/5/2020,21:24:45,21,6,onos_node
65,1588533926,3/5/2020,21:25:26,21,6,onos_node
68,1588533926,3/5/2020,21:25:26,21,6,onos_node
+++onos_system_started0+++,1588534234,3/5/2020,21:30:34,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535016,3/5/2020,21:43:36,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535047,3/5/2020,21:44:7,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535075,3/5/2020,21:44:35,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535138,3/5/2020,21:45:38,21,6,+++onos_system_started0+++
68,1588535200,3/5/2020,21:46:40,21,6,onos_node
+++onos_system_started0+++,1592121165,14/6/2020,9:52:45,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121221,14/6/2020,9:53:41,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121307,14/6/2020,9:55:7,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121469,14/6/2020,9:57:49,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121621,14/6/2020,10:0:21,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121762,14/6/2020,10:2:42,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121804,14/6/2020,10:3:24,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592122903,14/6/2020,10:21:43,10,6,+++onos_system_started0+++
186,1592123844,14/6/2020,10:37:24,10,6,onos_node
+++onos_system_started0+++,1592138951,14/6/2020,14:49:11,14,6,+++onos_system_started0+++
