statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user
+++onos_system_started0+++,1588528521,3/5/2020,19:55:21,19,6,+++onos_system_started0+++
0,1588528526,3/5/2020,19:55:26,19,6,onos_node
+++onos_system_started0+++,1588528546,3/5/2020,19:55:46,19,6,+++onos_system_started0+++
0,1588528564,3/5/2020,19:56:4,19,6,onos_node
1,1588528565,3/5/2020,19:56:5,19,6,onos_node
0,1588528566,3/5/2020,19:56:6,19,6,onos_node
1,1588528568,3/5/2020,19:56:8,19,6,onos_node
0,1588528569,3/5/2020,19:56:9,19,6,onos_node
1,1588528571,3/5/2020,19:56:11,19,6,onos_node
0,1588528571,3/5/2020,19:56:11,19,6,onos_node
1,1588528572,3/5/2020,19:56:12,19,6,onos_node
0,1588528585,3/5/2020,19:56:25,19,6,onos_node
1,1588528589,3/5/2020,19:56:29,19,6,onos_node
0,1588528590,3/5/2020,19:56:30,19,6,onos_node
1,1588528601,3/5/2020,19:56:41,19,6,onos_node
0,1588528602,3/5/2020,19:56:42,19,6,onos_node
1,1588528605,3/5/2020,19:56:45,19,6,onos_node
0,1588528606,3/5/2020,19:56:46,19,6,onos_node
1,1588528625,3/5/2020,19:57:5,19,6,onos_node
0,1588528626,3/5/2020,19:57:6,19,6,onos_node
1,1588528631,3/5/2020,19:57:11,19,6,onos_node
+++onos_system_started0+++,1588528720,3/5/2020,19:58:40,19,6,+++onos_system_started0+++
1,1588529439,3/5/2020,20:10:39,20,6,onos_node
0,1588529440,3/5/2020,20:10:40,20,6,onos_node
1,1588529763,3/5/2020,20:16:3,20,6,onos_node
1,1588530086,3/5/2020,20:21:26,20,6,onos_node
0,1588530086,3/5/2020,20:21:26,20,6,onos_node
1,1588530086,3/5/2020,20:21:26,20,6,onos_node
0,1588530087,3/5/2020,20:21:27,20,6,onos_node
+++onos_system_started0+++,1588530103,3/5/2020,20:21:43,20,6,+++onos_system_started0+++
0,1588530108,3/5/2020,20:21:48,20,6,onos_node
1,1588530109,3/5/2020,20:21:49,20,6,onos_node
0,1588530110,3/5/2020,20:21:50,20,6,onos_node
1,1588530142,3/5/2020,20:22:22,20,6,onos_node
0,1588530143,3/5/2020,20:22:23,20,6,onos_node
+++onos_system_started0+++,1588530627,3/5/2020,20:30:27,20,6,+++onos_system_started0+++
0,1588530635,3/5/2020,20:30:35,20,6,onos_node
1,1588530637,3/5/2020,20:30:37,20,6,onos_node
0,1588530638,3/5/2020,20:30:38,20,6,onos_node
1,1588530653,3/5/2020,20:30:53,20,6,onos_node
0,1588530656,3/5/2020,20:30:56,20,6,onos_node
1,1588530657,3/5/2020,20:30:57,20,6,onos_node
0,1588530658,3/5/2020,20:30:58,20,6,onos_node
+++onos_system_started0+++,1588530697,3/5/2020,20:31:37,20,6,+++onos_system_started0+++
0,1588530702,3/5/2020,20:31:42,20,6,onos_node
1,1588530743,3/5/2020,20:32:23,20,6,onos_node
0,1588530993,3/5/2020,20:36:33,20,6,onos_node
+++onos_system_started0+++,1588531375,3/5/2020,20:42:55,20,6,+++onos_system_started0+++
0,1588531395,3/5/2020,20:43:15,20,6,onos_node
1,1588531564,3/5/2020,20:46:4,20,6,onos_node
0,1588531565,3/5/2020,20:46:5,20,6,onos_node
1,1588531567,3/5/2020,20:46:7,20,6,onos_node
0,1588531567,3/5/2020,20:46:7,20,6,onos_node
1,1588531568,3/5/2020,20:46:8,20,6,onos_node
0,1588531570,3/5/2020,20:46:10,20,6,onos_node
1,1588531571,3/5/2020,20:46:11,20,6,onos_node
0,1588531572,3/5/2020,20:46:12,20,6,onos_node
1,1588531591,3/5/2020,20:46:31,20,6,onos_node
0,1588531593,3/5/2020,20:46:33,20,6,onos_node
1,1588531594,3/5/2020,20:46:34,20,6,onos_node
0,1588531595,3/5/2020,20:46:35,20,6,onos_node
1,1588531614,3/5/2020,20:46:54,20,6,onos_node
0,1588531615,3/5/2020,20:46:55,20,6,onos_node
1,1588531617,3/5/2020,20:46:57,20,6,onos_node
0,1588531619,3/5/2020,20:46:59,20,6,onos_node
1,1588531621,3/5/2020,20:47:1,20,6,onos_node
0,1588531622,3/5/2020,20:47:2,20,6,onos_node
+++onos_system_started0+++,1588532184,3/5/2020,20:56:24,20,6,+++onos_system_started0+++
0,1588532190,3/5/2020,20:56:30,20,6,onos_node
1,1588532194,3/5/2020,20:56:34,20,6,onos_node
1,1588532221,3/5/2020,20:57:1,20,6,onos_node
0,1588532237,3/5/2020,20:57:17,20,6,onos_node
1,1588532239,3/5/2020,20:57:19,20,6,onos_node
0,1588532239,3/5/2020,20:57:19,20,6,onos_node
1,1588532240,3/5/2020,20:57:20,20,6,onos_node
