statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user
1,1588525835,3/5/2020,19:10:35,19,6,onos_node
0,1588525836,3/5/2020,19:10:36,19,6,onos_node
1,1588525865,3/5/2020,19:11:5,19,6,onos_node
0,1588525865,3/5/2020,19:11:5,19,6,onos_node
1,1588525866,3/5/2020,19:11:6,19,6,onos_node
0,1588525866,3/5/2020,19:11:6,19,6,onos_node
1,1588525929,3/5/2020,19:12:9,19,6,onos_node
0,1588525930,3/5/2020,19:12:10,19,6,onos_node
1,1588526043,3/5/2020,19:14:3,19,6,onos_node
0,1588526044,3/5/2020,19:14:4,19,6,onos_node
1,1588526204,3/5/2020,19:16:44,19,6,onos_node
0,1588526204,3/5/2020,19:16:44,19,6,onos_node
1,1588526251,3/5/2020,19:17:31,19,6,onos_node
0,1588526252,3/5/2020,19:17:32,19,6,onos_node
1,1588526391,3/5/2020,19:19:51,19,6,onos_node
0,1588526392,3/5/2020,19:19:52,19,6,onos_node
1,1588526394,3/5/2020,19:19:54,19,6,onos_node
0,1588526396,3/5/2020,19:19:56,19,6,onos_node
1,1588526397,3/5/2020,19:19:57,19,6,onos_node
0,1588526399,3/5/2020,19:19:59,19,6,onos_node
1,1588526400,3/5/2020,19:20:0,19,6,onos_node
0,1588526401,3/5/2020,19:20:1,19,6,onos_node
1,1588526405,3/5/2020,19:20:5,19,6,onos_node
0,1588526406,3/5/2020,19:20:6,19,6,onos_node
1,1588526406,3/5/2020,19:20:6,19,6,onos_node
0,1588526407,3/5/2020,19:20:7,19,6,onos_node
1,1588526422,3/5/2020,19:20:22,19,6,onos_node
0,1588526423,3/5/2020,19:20:23,19,6,onos_node
1,1588526431,3/5/2020,19:20:31,19,6,onos_node
0,1588526432,3/5/2020,19:20:32,19,6,onos_node
1,1588526432,3/5/2020,19:20:32,19,6,onos_node
0,1588526437,3/5/2020,19:20:37,19,6,onos_node
1,1588527813,3/5/2020,19:43:33,19,6,onos_node
0,1588527814,3/5/2020,19:43:34,19,6,onos_node
1,1588527817,3/5/2020,19:43:37,19,6,onos_node
0,1588527818,3/5/2020,19:43:38,19,6,onos_node
+++onos_system_started0+++,1588528032,3/5/2020,19:47:12,19,6,+++onos_system_started0+++
0,1588528043,3/5/2020,19:47:23,19,6,onos_node
1,1588528066,3/5/2020,19:47:46,19,6,onos_node
0,1588528066,3/5/2020,19:47:46,19,6,onos_node
1,1588528070,3/5/2020,19:47:50,19,6,onos_node
0,1588528072,3/5/2020,19:47:52,19,6,onos_node
+++onos_system_started0+++,1588528304,3/5/2020,19:51:44,19,6,+++onos_system_started0+++
1,1588528309,3/5/2020,19:51:49,19,6,onos_node
0,1588528309,3/5/2020,19:51:49,19,6,onos_node
1,1588528310,3/5/2020,19:51:50,19,6,onos_node
0,1588528311,3/5/2020,19:51:51,19,6,onos_node
1,1588528319,3/5/2020,19:51:59,19,6,onos_node
0,1588528320,3/5/2020,19:52:0,19,6,onos_node
