statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user
onos_system_started,1514998920,3/1/2018,18:2:0,18,2,onos_system_started
onos_system_started,1514998942,3/1/2018,18:2:22,18,2,onos_system_started
onos_system_started,1517607171,2/2/2018,22:32:51,22,4,onos_system_started
+++onos_system_started0+++,1525557703,6/5/2018,0:1:43,0,6,+++onos_system_started0+++
+++onos_system_started0+++,1525558041,6/5/2018,0:7:21,0,6,+++onos_system_started0+++
+++onos_system_started0+++,1525558193,6/5/2018,0:9:53,0,6,+++onos_system_started0+++
+++onos_system_started0+++,1525558605,6/5/2018,0:16:45,0,6,+++onos_system_started0+++
+++onos_system_started0+++,1525558716,6/5/2018,0:18:36,0,6,+++onos_system_started0+++
+++onos_system_started0+++,1525609099,6/5/2018,14:18:19,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525609480,6/5/2018,14:24:40,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525609526,6/5/2018,14:25:26,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525609631,6/5/2018,14:27:11,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525610005,6/5/2018,14:33:25,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525610062,6/5/2018,14:34:22,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525610169,6/5/2018,14:36:9,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525610225,6/5/2018,14:37:5,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525610906,6/5/2018,14:48:26,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611368,6/5/2018,14:56:8,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611412,6/5/2018,14:56:52,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611512,6/5/2018,14:58:32,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611630,6/5/2018,15:0:30,15,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611700,6/5/2018,15:1:40,15,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611824,6/5/2018,15:3:44,15,6,+++onos_system_started0+++
+++onos_system_started0+++,1525616119,6/5/2018,16:15:19,16,6,+++onos_system_started0+++
+++onos_system_started0+++,1525616172,6/5/2018,16:16:12,16,6,+++onos_system_started0+++
+++onos_system_started0+++,1525618060,6/5/2018,16:47:40,16,6,+++onos_system_started0+++
