statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user
onos_system_started,1514998920,3/1/2018,18:2:0,18,2,onos_system_started
onos_system_started,1514998942,3/1/2018,18:2:22,18,2,onos_system_started
onos_system_started,1517607171,2/2/2018,22:32:51,22,4,onos_system_started
+++onos_system_started0+++,1525557703,6/5/2018,0:1:43,0,6,+++onos_system_started0+++
+++onos_system_started0+++,1525558041,6/5/2018,0:7:21,0,6,+++onos_system_started0+++
+++onos_system_started0+++,1525558193,6/5/2018,0:9:53,0,6,+++onos_system_started0+++
+++onos_system_started0+++,1525558605,6/5/2018,0:16:45,0,6,+++onos_system_started0+++
+++onos_system_started0+++,1525558716,6/5/2018,0:18:36,0,6,+++onos_system_started0+++
+++onos_system_started0+++,1525609099,6/5/2018,14:18:19,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525609480,6/5/2018,14:24:40,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525609526,6/5/2018,14:25:26,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525609631,6/5/2018,14:27:11,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525610005,6/5/2018,14:33:25,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525610062,6/5/2018,14:34:22,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525610169,6/5/2018,14:36:9,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525610225,6/5/2018,14:37:5,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525610906,6/5/2018,14:48:26,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611368,6/5/2018,14:56:8,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611412,6/5/2018,14:56:52,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611512,6/5/2018,14:58:32,14,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611630,6/5/2018,15:0:30,15,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611700,6/5/2018,15:1:40,15,6,+++onos_system_started0+++
+++onos_system_started0+++,1525611824,6/5/2018,15:3:44,15,6,+++onos_system_started0+++
+++onos_system_started0+++,1525616119,6/5/2018,16:15:19,16,6,+++onos_system_started0+++
+++onos_system_started0+++,1525616172,6/5/2018,16:16:12,16,6,+++onos_system_started0+++
+++onos_system_started0+++,1525618060,6/5/2018,16:47:40,16,6,+++onos_system_started0+++
+++onos_system_started0+++,1527539523,28/5/2018,22:32:3,22,0,+++onos_system_started0+++
+++onos_system_started0+++,1540852828,29/10/2018,23:40:28,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853218,29/10/2018,23:46:58,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853241,29/10/2018,23:47:21,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853266,29/10/2018,23:47:46,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853288,29/10/2018,23:48:8,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853314,29/10/2018,23:48:34,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853434,29/10/2018,23:50:34,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853505,29/10/2018,23:51:45,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853573,29/10/2018,23:52:53,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853634,29/10/2018,23:53:54,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853678,29/10/2018,23:54:38,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853704,29/10/2018,23:55:4,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853850,29/10/2018,23:57:30,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853878,29/10/2018,23:57:58,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540853964,29/10/2018,23:59:24,23,0,+++onos_system_started0+++
+++onos_system_started0+++,1540854119,30/10/2018,0:1:59,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540854211,30/10/2018,0:3:31,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540854303,30/10/2018,0:5:3,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540854367,30/10/2018,0:6:7,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540854723,30/10/2018,0:12:3,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540854772,30/10/2018,0:12:52,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540854861,30/10/2018,0:14:21,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855070,30/10/2018,0:17:50,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855106,30/10/2018,0:18:26,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855215,30/10/2018,0:20:15,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855260,30/10/2018,0:21:0,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855357,30/10/2018,0:22:37,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855451,30/10/2018,0:24:11,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855471,30/10/2018,0:24:31,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855554,30/10/2018,0:25:54,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855611,30/10/2018,0:26:51,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855678,30/10/2018,0:27:58,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855710,30/10/2018,0:28:30,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855758,30/10/2018,0:29:18,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540855965,30/10/2018,0:32:45,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540856002,30/10/2018,0:33:22,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540856020,30/10/2018,0:33:40,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540856059,30/10/2018,0:34:19,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540856146,30/10/2018,0:35:46,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540856157,30/10/2018,0:35:57,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540856243,30/10/2018,0:37:23,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540856299,30/10/2018,0:38:19,0,1,+++onos_system_started0+++
+++onos_system_started0+++,1540857709,30/10/2018,1:1:49,1,1,+++onos_system_started0+++
+++onos_system_started0+++,1540857780,30/10/2018,1:3:0,1,1,+++onos_system_started0+++
+++onos_system_started0+++,1540857912,30/10/2018,1:5:12,1,1,+++onos_system_started0+++
+++onos_system_started0+++,1540858269,30/10/2018,1:11:9,1,1,+++onos_system_started0+++
+++onos_system_started0+++,1540858297,30/10/2018,1:11:37,1,1,+++onos_system_started0+++
+++onos_system_started0+++,1540858358,30/10/2018,1:12:38,1,1,+++onos_system_started0+++
