statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user
10,1588525836,3/5/2020,19:10:36,19,6,onos_node
0,1588525865,3/5/2020,19:11:5,19,6,onos_node
5,1588525866,3/5/2020,19:11:6,19,6,onos_node
2,1588525929,3/5/2020,19:12:9,19,6,onos_node
5,1588525930,3/5/2020,19:12:10,19,6,onos_node
5,1588526251,3/5/2020,19:17:31,19,6,onos_node
0,1588526392,3/5/2020,19:19:52,19,6,onos_node
5,1588526397,3/5/2020,19:19:57,19,6,onos_node
0,1588526399,3/5/2020,19:19:59,19,6,onos_node
2,1588526400,3/5/2020,19:20:0,19,6,onos_node
5,1588526401,3/5/2020,19:20:1,19,6,onos_node
7,1588526406,3/5/2020,19:20:6,19,6,onos_node
0,1588526406,3/5/2020,19:20:6,19,6,onos_node
5,1588526407,3/5/2020,19:20:7,19,6,onos_node
2,1588526422,3/5/2020,19:20:22,19,6,onos_node
5,1588526431,3/5/2020,19:20:31,19,6,onos_node
7,1588526432,3/5/2020,19:20:32,19,6,onos_node
0,1588526437,3/5/2020,19:20:37,19,6,onos_node
2,1588527813,3/5/2020,19:43:33,19,6,onos_node
15,1588527814,3/5/2020,19:43:34,19,6,onos_node
0,1588527817,3/5/2020,19:43:37,19,6,onos_node
5,1588527865,3/5/2020,19:44:25,19,6,onos_node
0,1588527866,3/5/2020,19:44:26,19,6,onos_node
2,1588527868,3/5/2020,19:44:28,19,6,onos_node
0,1588527870,3/5/2020,19:44:30,19,6,onos_node
+++onos_system_started0+++,1588528032,3/5/2020,19:47:12,19,6,+++onos_system_started0+++
0,1588528043,3/5/2020,19:47:23,19,6,onos_node
5,1588528070,3/5/2020,19:47:50,19,6,onos_node
2,1588528072,3/5/2020,19:47:52,19,6,onos_node
+++onos_system_started0+++,1588528304,3/5/2020,19:51:44,19,6,+++onos_system_started0+++
0,1588528309,3/5/2020,19:51:49,19,6,onos_node
2,1588528309,3/5/2020,19:51:49,19,6,onos_node
0,1588528311,3/5/2020,19:51:51,19,6,onos_node
