statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user

1,1512082729,30/11/2017,23:58:49,23,3,scenario
0,1512082746,30/11/2017,23:59:6,23,3,nobody
0,1512082800,1/12/2017,0:0:0,0,4,scenario
0,1512083068,1/12/2017,0:4:28,0,4,scenario
0,1512083144,1/12/2017,0:5:44,0,4,scenario
1,1512299583,3/12/2017,12:13:3,12,6,scenario
1,1512299762,3/12/2017,12:16:2,12,6,scenario
1,1512300000,3/12/2017,12:20:0,12,6,scenario
1,1512300174,3/12/2017,12:22:54,12,6,scenario
1,1512303111,3/12/2017,13:11:51,13,6,scenario
1,1512304279,3/12/2017,13:31:19,13,6,scenario
1,1512844362,9/12/2017,19:32:42,19,5,scenario
